Name,URL,Style
Who you teach,http://dtkaplan.github.io/PollQuestions/WhoDoYouTeach.html,Multi
What courses,http://dtkaplan.github.io/PollQuestions/WhatCourses.html,Multi
What relationship,http://dtkaplan.github.io/PollQuestions/WhatRelationship.html,Multi
Stat software,http://dtkaplan.github.io/PollQuestions/StatSoftware.html,Multi
Packages,http://dtkaplan.github.io/PollQuestions/Packages.html,Multi
Barriers,http://dtkaplan.github.io/PollQuestions/Barriers.html,Multi
